昵称,地区,性别,粉丝数,用户发布微博数量,评论
李鸿章子怡,上海 静安区,男,1117,5976,萨德的事怎么说？
黑糖珍珠奶茶不要珍珠,北京,女,6332,1414,"釜山全是湾湾人<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />我还以为到台北了"
非常667,上海 浦东新区,男,4,1,"去日本玩会被哪里都有的韩国人吵到，现在在上海也能到处听到韩国人的大嗓门了<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
勿轻蒙胧泽,四川 成都,女,548,6923,重庆也有个
arobeghank,其他,男,27,263,"韩国啥时候能对中国免签<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />"
燕云胖虎,其他,男,35,161,最初，是没米军基地了
自由淡定的石头,上海 嘉定区,男,247,1362,韩国的一大会址。
仁忠龍向新人生启程,广东 佛山,男,916,9711,挺好的，好让他们知道什么叫宗主国。
yufranktian,新疆 伊犁,男,3619,65385,"//<a href=/n/老铁收破烂不 usercard=""name=@老铁收破烂不"">@老铁收破烂不</a>:预言家//<a href=/n/夏天热成雪糕 usercard=""name=@夏天热成雪糕"">@夏天热成雪糕</a>:回去就说上海是韩国的"
tk-oo,吉林 吉林,女,137,17,看看什么整容脸
好学的大公鸡,北京 朝阳区,男,495,4983,"回复<a href=/n/-我没有菱角 usercard=""name=@-我没有菱角"">@-我没有菱角</a>:重庆也有"
Alazerly,四川 成都,女,393,96,你有什么意见吗？
这里有一个yyc,江苏,男,149,1143,"再来就要给上海申遗了<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
非高考科目二线教师,辽宁 沈阳,男,2702,156362,卖文创啊，不能让他们白来
没有光的大脑札记,北京 东城区,男,43,166,过来消费挺好的。哪怕没人多喝一杯冰美式，也促进消费了
4分之三的R,上海,男,340,66,来吧 多来消费
种下弯月,广东 东莞,男,50,98,"他们不回来偷东西吧。<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />"
梦想就在对面vv,江西 吉安,女,4,16,"国人不消费就把外国人拉进来消费，高<img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" />"
啵啵的小芋圆,江西,女,161,184,小心被申遗
我的id是逍遥自在,四川,女,6,1027,"回去就宣传上海是韩国建设的<img alt=""[吐]"" title=""[吐]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/08/2018new_tu_org.png"" /><img alt=""[吐]"" title=""[吐]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/08/2018new_tu_org.png"" /><img alt=""[吐]"" title=""[吐]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/08/2018new_tu_org.png"" />"
等壹场落雨,海外,女,135,497,韩国人是真不穿羽绒服
这里是曦光,其他,女,1559,9784,转发微博
风漫舞0556,四川 成都,女,352,10043,乡下人进城了
米米的V,其他,女,3,16,涨价
想死机了,上海,女,126,2,"我前天去新天地面部，那有一堆人在那拍照，还想说啊，那在拍啥？原来都是韩国人<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
怪胎秀2238,其他,男,34,94,韩国人也不上班啊
秉秉517,天津 河西区,女,341,945,上海最适合他们喝咖啡哈哈哈
徒步行走的飞猪,河北 秦皇岛,男,318,5802,韩国棒子回去会说这是韩国以前的占领区
Everygreen_ay,其他,女,161,336,好多地方都有韩国临时政府，江苏镇江一个巷子里也有～
lupecho,重庆 北碚区,女,217,1298,不要来
去看圆形彩虹,其他,男,41,2764,这个打卡点对韩国人来说早就很火了吧？十来年前，我去上海玩路过这个地方，刚好碰上韩国人，有一个推宝宝车的女士把车放下，啪啪啪跑过去拍照
水到渠成_淼,其他,女,401,1957,"回去韩国人就是中国是韩国的了<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />拆了那么多遗迹了，留个这个干啥？舔？？"
吴皇万岁Bruce,湖北,男,176,940,"他们 没有996 可以随时来<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />"
假装善良,浙江 宁波,女,204,1480,"亚洲的老头老太都一个姿势吧？<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />"
影仞觞,其他,男,2,22,对棒子没有一点好印象，回去估计就说上海以前是韩国的了。
胡说八道可不是正能量,其他,男,15,22,"回复<a href=/n/-我没有菱角 usercard=""name=@-我没有菱角"">@-我没有菱角</a>:重庆长沙也有，当年跟着国民政府一直变换地方"
胡说八道可不是正能量,其他,男,15,22,免签还是方便
xxxKamy_,广东 广州,女,102,6135,"韩国正统在上海<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
大饼子啊啊,广东 深圳,女,78,864,丸啦 回去就说上海是韩国的
tttimid---,其他,女,105,10896,"是唯一能跟韩国扯上关系的是吧<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />回去记得补历史别瞎说暴露智商"
时过境迁31389,其他,男,1,31,"真怕他们说上海是他们的<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />"
威武的小白白,江苏,男,67,699,怪不得，上次去怎么那么多韩国人在那，还以为是啥团建
花魂贱,上海 松江区,女,191,1088,好怕他们说上海是韩国的
横竖竖车走,上海,女,123,33,上海虹桥那边都是韩国人日本人
fun-233,河南,女,2248,1549,他们都还去吃那个羊肉串？
Xiagulin347,四川 成都,男,238,395,追根溯源
十元一笑,其他,男,18,147,不来重庆？
fun-233,河南,女,2248,1549,"棒子来上海只去棒子推荐的那几个地方<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
不知道起什么名字CR7,上海,男,10,1,那不得去上海的韩国街
白色风车与黑色毛衣,河北 石家庄,男,305,18,长相真的很韩国
炫就完了嘿嘿嘿,其他,女,41,1820,"好了，上海过不了多久就是韩国发达城市了<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />，然后叫嚣上海还给韩国<img alt=""[开学季]"" title=""[开学季]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/72/2021_kaixueji_org.png"" />"
VililainJ,浙江,女,81,258,那地方街道挺小的，这么多人估计挺挤的了
蹲邦妮,广东 深圳,女,102,3954,欢迎欢迎
失眠的熊猫C,海南,女,116,4013,像不像十几年前韩国旅游热潮，现在反过来变成他们来中国旅游了
鹿城有鳄,海南 三亚,男,3,278,没见过世面的样子
机器猫2012少校,江西 南昌,男,187,5904,韩国人总算见识到了国际大都市？
jackeyin,其他,男,69,308,所以到时候会不会说上海是韩国人的
悦哈哈李铁,其他,男,27,966,吵死了，有韩国人的地方巨吵，不知道为什么韩人为啥喜欢公共场所大声说话
卷福没有花生,湖北,男,28,104,你滴烟，我滴醋
瑜伽静大妞,其他,女,6,1300,"所以在这里统计在上海玩的韩国人很准确 不去不是韩国人<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
重生之书山的爱情传奇,浙江 舟山,女,77,450,"那岂不是要实锤上海就是韩国的了<img alt=""[哆啦A梦吃惊]"" title=""[哆啦A梦吃惊]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/dc/2022_doraamazing_org.png"" />"
重骅,湖南,女,3125,16,"谨言慎行啊，避免被截图传到韩国那边，等会不来了……韩国人能来我们国家消费挺好的，韩国人消费力还可以的<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />欢迎他们！"
六道不遛娃,安徽,男,73,305,小西八
我想有个任意门R,广东 深圳,女,138,412,"《证据》<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
三天不睡懒觉,浙江 金华,男,19,99,"这地方我都没去过<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />"
胡宝aimee,上海,女,406,4523,"不理解 <img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />  韩国为什么不对中国免签"
酷暑和寒冬轮流抽风,上海 浦东新区,女,32,6,"有点简陋啊<img alt=""[嘘]"" title=""[嘘]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/b0/2018new_xu_org.png"" />"
Traveler张,青海 西宁,男,323,987,之前来过这里，当时都没什么人
炼炼杨杨,其他,男,48,9793,拆了得了
大大大大大大大面团,其他,男,1,47,那我问你们，那会韩国政府在上海，那上海是哪个国家的？
无敌俊郎小包包,上海,女,16,249,然后回去说 我们抢了他们的地？
不喝纯牛奶哇,重庆,男,74,13,"瞧瞧这帮子韩国乡下人进城<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />，我们得体谅体谅<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />"
周树人与我鲁迅何干,北京 朝阳区,女,183,1779,"我觉得有点搞笑哈哈 无伤大雅 交流<a href=""//s.weibo.com/weibo?q=%23%E4%B8%8A%E6%B5%B7%20%E9%9F%A9%E5%9B%BD%E4%BA%BA%23"" target=""_blank"">#上海 韩国人#</a>"
Liam在姑苏城内外,海外 英国,男,127,188,"常回家看看<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />"
JJOYCE_PP,福建 龙岩,女,535,19793,重庆也有一个呢  韩国人到处逃到处都是他们的临时政府
热爱搬铁的数学老师,河北,男,1868,2,不敢想象街上能有多聒噪
灰灰的77,江苏,男,308,2088,免费还是收费 这么多人必须赚啊
吃的要加油,山东,男,86,162,"多来，多消费<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
发财白皮猪,江西,女,190,1050,该死的韩国人
飞不过的晴天,河南 南阳,男,1069,828,就它的德性 韩国过几天要把地图上加一个点
我就说取个网名不容易,其他,女,22,587,哈哈，多来消费，谢谢
取名真的好难00,云南 昆明,女,3,35,"他们会不会认为上海是他们韩国的<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />"
九策家的小四子,其他,男,31,1244,"<a href=/n/糖醋椰子油 usercard=""name=@糖醋椰子油"">@糖醋椰子油</a> 去吃双开门"
红豆泥心累_,福建,女,29,2950,先来上海，再去哈尔滨
chinkouryu89,江苏 无锡,男,32,60,当年带韩国女友也来的这里，要不是她告诉我，我还不知道上海有这个景点
嘿你要吃饭吗,其他,女,57,2716,"广西柳州也有韩国临时政府<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
妇科老西医,天津 红桥区,男,19,8103,"哪儿跟哪儿就让棒子去上海，丫挺的，进过城么<img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" /><img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" /><img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" /><img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" /><img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" />小赤佬"
D桃子小可爱,上海 徐汇区,女,224,1226,不会回头就说上海以前是韩国的吧？
大yan没有哆啦a梦,江苏 无锡,女,245,6198,不要来偷文化就行
天天爱吃饭啊啊啊,其他,男,16,71,韩剧里都瞧不起去上海
贰一哈,上海,男,4472,758,"阿拉人连棒子都舔了。<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
扣夕夕-,福建 泉州,女,266,350,"<a href=/n/Flora是谁ya usercard=""name=@Flora是谁ya"">@Flora是谁ya</a>"
小徐的胸练不大,其他,女,14,0,"好了，棒子回去就说上海是韩国的了<img alt=""[拜拜]"" title=""[拜拜]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/fd/2018new_baibai_org.png"" />"
泰勒斯的奈咕酱,其他,女,27,148,这个地址属于是人类反法西斯的团结象征了，反日革命家的团结象征。
芝嘎123,山东 烟台,女,51,356,欢迎欢迎，欢迎各位贵客来中国吃喝玩乐。
李天乙Jessie,广西 南宁,男,2466,790,《蹭韩国人热度》 
脑门有犄角,其他,女,0,94,建议收门票
industrialtechnology,其他,男,23,358,马当路。
80度_炉子,吉林 长春,女,172,528,"上海现在是不是贼吵<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[喵喵]"" title=""[喵喵]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7b/2018new_miaomiao_org.png"" />"
言晓的小可爱,广西 柳州,女,4639,55,"过几天就要开始说上海是韩国的了<img alt=""[哼]"" title=""[哼]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7c/2018new_heng_org.png"" />"
投料泰当,上海 浦东新区,男,207,8236,昨天就在丽兹卡尔顿顶楼餐厅酒吧碰到韩国年轻情侣游客
我就只看喜欢的,湖南,女,90,4069,不会以后变成上海是韩国的吧？
写三句,上海 浦东新区,男,86,84,"图一不冷吗<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />太勇了"
久酿小元宵,安徽 合肥,女,410,756,"不是说不来吗<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
我现在只想要开心,辽宁 沈阳,男,10561,1270,"发现了上海是韩国的新证据<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />"
CastleWalker,福建,男,81,175,这举例举得，是真没吃过啥细糠[挖鼻]
一定要早点睡___,广东 深圳,男,137,4,你是被韩国人牵着说这段话的吗[吃惊]
-香酿伊-,广东 深圳,女,77,1695,你先飞首尔看看，再说出这种话就很牛…
就这样OVER了,海外 日本,男,9,0,相当于河北人去北京
我把名字一改看你还怎么找到我哼,北京,女,87,550,韩国人到上海打一歇后语：土狗进城
养猪圣手王富贵,四川 成都,男,158,95,比如去省城更恰当
我有点小贱,海外 其他,女,213,2589,韩国说实在的还不如我这里3/4线城市[允悲]
掌门是欧皇,上海 徐汇区,男,172,763,别搞笑，韩国什么小破城乡结合部
hertrain,上海,男,28,93,太低估上海的物价了[doge]
Not_An_Account,其他,男,79,0,首尔无聊，空气干，城建老旧，物价略低于沪国。韩国去上海更像内地人去香港
Barbadoser,江苏 苏州,女,8584,477,东南亚没有比上海更好的城市，同理韩国首尔也比不上上海
世外野人打呼噜,上海,女,118,574,你去没去过东南亚啊？又去没去过韩国啊？
Barbadoser,江苏 苏州,女,8584,477,相当于乡下人进城OK
同爱社,浙江,女,279028,27269,反过来才对吧
小勒豆_,四川,男,11516,1847,韩国人到上海，相当于东南亚人去纽约了
luckymeiluckySun,陕西 西安,女,525,4382,你是棒子就直说
jayBeta的维度,其他,男,3,19,成功赢得热度，滴到账 500 元
星里的宁,其他,女,259,3653,韩国什么破地方
土土于于,其他,女,100,351,你是山猪吗[二哈]
傾----聽,内蒙古 呼和浩特,男,106,247,是滴[允悲]
叻菓仄,北京 朝阳区,男,57,1908,韩国是你爹啊
杨枝甘露椰奶冰,香港,女,190,9631,神经
食梦貘三,海外 奥地利,男,5160,2121,你在放什么屁
在北投卖胡萝卜,四川 成都,女,45,359,挺好的 来消费没有不欢迎的 来者都是客
人参补锅,重庆,女,76,2509,？？？？？乡巴佬进城好吗？你是韩国狗？？
1991的晚风-风吹吹儿,上海,女,25,4750,相当于去纽约
-抱拥这分钟-,其他,男,361,1409,没出过国就别乱叫了
驻美站长特郎谱,上海,男,2,6,你的比喻很奇怪，我们也去东南亚朝圣吗？
四麦哦,辽宁,女,9,359,"韩国像俺们镇上<img alt=""[困]"" title=""[困]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/3c/2018new_kun_org.png"" />"
断剑如梦,其他,女,247,16330,有啥好比较的呀……
叨叨叨见笑,广东,男,235,316,属于进城
姝小满,海南,女,114,311,"相当于我从村里到北京<img alt=""[喵喵]"" title=""[喵喵]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7b/2018new_miaomiao_org.png"" />"
这可太哈人了,北京 海淀区,男,94,1279,"跪久了站不起来<img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" /><img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" /><img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" />"
小盒是仙子嘛,海外 芬兰,女,2543,18290,那你想多了
小猫冰椰奶,上海,男,81,29,"<a href=/n/咬一口苹果脆脆 usercard=""name=@咬一口苹果脆脆"">@咬一口苹果脆脆</a> 脑子呢😅😅"
怀抱大锦鲤,湖南 长沙,男,21,249,能说出这种话 你也是绝了…
用户7307097232,其他,男,233,937,你真是蠢啊
犀牛小宇宙,其他,女,12846,1485,"相当于土鳖进城。我说话难听。不爱听就当没看见<img alt=""[兔子]"" title=""[兔子]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c6/2018new_tuzi_org.png"" />"
一到上班时间就过巨慢,广东,女,31,520,收了多少？
家有巨型恶犬,湖北 武汉,女,79,3471,"<img alt=""[哆啦A梦害怕]"" title=""[哆啦A梦害怕]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/35/2022_dorashock_org.png"" />。"
roseonstar,上海 虹口区,女,309,122,刘姥姥进大观园
星河物语官方微博,浙江,女,12188,595,你家乡跟上海真比不了
佛度VIP,广西 百色,男,133,402,什么鬼比喻，韩国人来上海，就像零几年我们广西人去广东打工一样还差不多
Heart_Mind_n_Soul,海外 澳大利亚,女,140,1060,呵呵
不恋爱的牧羊人,北京,男,113,1505,上海白人阿拉伯人到处都是啊，怎么就可着韩国赢呢
花花爱奶宝,其他,女,53,163,这是韩国的🐶吗
子熙菌,浙江,男,412,691,故意这么说的话你就是纯坏
古怪的赖小桃,其他,女,33,2334,"敌特发言<img alt=""[挖鼻]"" title=""[挖鼻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9a/2018new_wabi_thumb.png"" />"
賢飽子的草莓汽水,香港 其他,女,728,1434,"有脑子吗发这种言论<img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" /><img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" /><img alt=""[可怜]"" title=""[可怜]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/96/2018new_kelian_org.png"" />"
丞相何故发笑q,上海,女,663,160,说反了吧
Nu如梦之梦,广东 深圳,男,194,218,"这见识就别出来丢人了<img alt=""[费解]"" title=""[费解]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/2a/2018new_wenhao_org.png"" />"
生巧吐司兔,安徽 宿州,女,3132,5695,"嗯嗯<img alt=""[兔子]"" title=""[兔子]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c6/2018new_tuzi_org.png"" />"
深圳大兄弟,广东,男,4,6,虽然我没去过上海，但我可以肯定上海比首尔好，这是常识
甜菜二锅头,浙江 杭州,男,17,1,"你是没见过东南亚还是没见过韩国<img alt=""[汗]"" title=""[汗]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/28/2018new_han_org.png"" />"
WOOHAAAAA__---_-_-___-___-_---,上海,男,8,221,从物价的角度来说，是的
自由的画上眉儿,江苏,女,40,226,你是没去过上海，还是没去过韩国，还是没去过东南亚，才能得出这样的结论？
爱读书的坏学生,山西 长治,男,131,3,？
suatwei-bo,广东,男,293,2573,“韩国人到上海旅行，是不是相当于咱们去东南亚旅行。”说出这句话的人，不是傻就是坏
在下马敬亭,上海,男,230,967,"自信点，这是乡下人进城了，相当于咱们去欧洲<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />"
黄浦区全智甜,澳门,女,21,187,河北人来上海相当于非洲去美国
M_马克图布,黑龙江 哈尔滨,女,118,1801,上海城市建设甩首尔不知道多少条街，首尔小小的旧旧的，物价方面比首尔也低不了太多，对他们来说上海可能是性价比高的香港，但不会是东南亚
请务必保持良好心态,江苏 常州,男,198,140,"你但凡上学的时候多看两分钟书你都说不出这种话来<img alt=""[疑问]"" title=""[疑问]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/b8/2018new_ningwen_org.png"" />"
小阿钮,北京,女,87,1045,中国人都不care韩国人，是它们在意淫还是你在意淫？
汤汤艾川,其他,女,106,4052,相当于你穿着开裆裤进城
冬雪夏柳,辽宁 沈阳,女,109,312,相当于刘姥姥进大观园
深情毒药,上海 浦东新区,男,72,0,新加坡来可以这么说，韩国主要是啥也没有，相当于刘姥姥逛大观园，乡下人进城啦。
专打恨国蛆,北京,女,23,1633,相当于常年被绳子牵着的你从农村来到了大城市
prelynnlynnlynn,其他,男,11,275,来花点钱还是欢迎的 其它不友好的话也不说了。。。
雪菀如,湖北 十堰,女,131,121,不是的，我去过韩国了，我觉得真的比不过上海，首尔明洞我都去了，还有那个江南区
肇启楠_,海外,男,23,45,看见韩国人骂他就完了
大蜗牛卢塞君,其他,男,35,3,"属于刘姥姥进大观园<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />"
紫薏米兔,广东,女,110,1646,"抬高小西八的就滚<img alt=""[ok]"" title=""[ok]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/45/2018new_ok_org.png"" />"
迪迪不是奥特曼,海外,女,746,967,咱国家比其他东南亚好多了好么…
澄澄努力吖,山东 济南,女,222,1144,山东这边，威海青岛的，经常双语的广告牌，路标啥的。。。有时候公交上遇到他们，真的有点吵
产品苟富贵,其他,男,0,1,我觉得相当于90年代的时候去新马泰旅游
EMNI4,四川 成都,男,21,0,相当于去美爹那里
夕君蝶影瘦山色,安徽,女,91,8469,"你是棒子吧<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />"
爱恩0317,广东,女,2,3020,"有钱大家一起赚<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />"
易佳儿er,安徽 合肥,女,7,525,你去东南亚有比上海干净舒服？
_芋头吃乌龟,四川 成都,男,127,89,"你这微博多少钱一条啊？<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
响当当888,北京,女,46,10,你不要太谄媚
爱哭的傻猫健J,其他,男,492,41,并没有。上海物价可以和首尔一拼。除了公共交通这块。
CHNtopia,广东 深圳,男,351,2294,你这是没见过世面还是天生不懂得逻辑？
悟空W123,福建 厦门,男,15,81,"你是真棒子还是二棒子，今天吃了肉没，没吃我骨头要扔了哦<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
IlIllIIllI,北京 朝阳区,女,52,79,"你这是暴露了压根没出过国吧<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" /><img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" /><img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />"
叶落无痕1015,重庆,男,1259,63,感觉说反了
恭囍发财么么哒,山西,女,563,4916,"你是哪儿的<img alt=""[吐]"" title=""[吐]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/08/2018new_tu_org.png"" />"
robotHolic,其他,女,343,1426,评论区真的无语 拿上海和东南亚比 去看看韩国汇率 看看全球消费排行 全球外派高管消费排行
小凯kylin,湖南 长沙,男,349,3714,国内安全等级可高多了
仁忠龍向新人生启程,广东 佛山,男,916,9711,"看到评论区的友善氛围我就放心了<img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" />"
